,age,sex,smoker,pren_prod,pren_comp,point_sales,product_type,dist_channel,pay_freq,pay_method,profession,evento,time
6945,44,0,1,42.5,0.0,1,7,2,3,1,1,False,2282.0
764,40,1,1,56.5,0.0,1,8,2,3,1,1,True,454.0
2287,40,0,1,51.5,0.0,1,8,2,3,1,1,True,488.0
4765,43,1,1,174.34,2.77,0,0,1,0,1,2,True,373.0
3909,35,1,1,37.6,0.97,2,8,2,3,1,1,True,545.0
4349,69,1,1,135.0,0.0,0,7,2,3,1,1,False,2359.0
430,34,1,1,67.07,0.0,1,3,3,1,0,0,True,41.0
1987,35,1,1,26.0,0.0,1,7,2,3,1,1,True,1011.0
6249,30,1,1,40.0,0.5,1,8,2,3,1,2,True,2197.0
7329,37,1,1,237.07,0.0,0,3,1,0,0,1,False,945.0
2880,51,0,1,37.16,0.0,2,3,2,3,1,1,True,1745.0
6197,36,1,1,33.0,0.01,1,7,2,3,1,2,True,237.0
1358,26,1,1,30.4,2.01,0,8,2,3,1,1,False,395.0
7259,57,1,1,721.32,0.0,1,1,1,1,0,1,False,3179.0
1254,42,0,1,44.4,0.0,1,8,2,3,1,1,True,242.0
2280,46,1,1,55.0,0.94,1,7,2,3,1,1,False,1932.0
5748,31,0,1,20.05,0.89,3,3,2,3,1,1,True,422.0
2889,38,1,1,198.91,0.0,1,1,1,1,0,1,True,818.0
1173,37,1,1,47.6,0.0,1,7,2,3,1,1,True,342.0
3128,46,1,1,152.0,330.5,0,8,2,0,1,1,False,2632.0
2225,33,1,1,81.0,0.0,1,8,2,3,1,1,False,1947.0
4234,38,1,1,41.6,0.35,0,8,2,3,1,1,True,336.0
190,29,0,1,63.0,0.0,0,8,2,3,1,1,True,1094.0
2600,51,1,1,57.2,0.0,1,7,2,3,1,2,True,364.0
500,42,0,1,61.0,0.0,1,8,2,3,1,1,True,216.0
4667,29,0,1,27.5,0.66,0,7,2,3,1,1,True,693.0
3089,48,1,1,27.52,0.83,1,2,2,3,1,2,True,265.0
5071,27,1,1,38.5,1.67,0,8,2,1,0,1,True,1905.0
6458,54,1,1,628.25,0.0,1,1,1,1,0,0,False,2930.0
2136,38,1,1,60.32,0.24,1,8,2,3,1,0,False,563.0
5049,41,1,1,23.82,0.8,0,3,2,3,1,2,False,2601.0
4736,44,0,1,44.69,0.0,1,3,3,3,1,1,True,1150.0
3925,30,0,1,38.5,0.0,0,8,2,3,1,1,True,500.0
3620,53,1,1,49.2,0.0,1,7,2,3,1,1,True,148.0
2443,41,1,1,117.0,0.5,0,8,2,0,1,1,False,251.0
4600,42,1,1,68.0,115.48,0,10,2,3,1,1,False,95.0
3948,40,0,1,36.0,0.0,0,7,2,3,1,1,False,486.0
4395,27,1,1,38.5,2.5,0,8,2,0,1,1,True,603.0
5043,26,0,1,28.2,0.0,3,7,2,3,1,1,True,149.0
6817,56,1,1,1413.6,118.68,2,7,1,3,1,1,True,1961.0
237,45,1,1,84.0,0.0,1,7,2,1,1,0,False,655.0
7412,55,1,1,65.74,0.0,0,3,2,1,1,1,False,319.0
893,32,1,1,48.17,0.0,0,8,2,3,1,1,False,3105.0
5684,43,1,1,37.2,0.02,1,7,2,3,1,1,False,1308.0
4989,56,0,1,31.2,0.0,3,7,2,3,1,1,True,589.0
180,48,0,1,28.4,1.8,1,8,2,3,1,1,True,3242.0
7504,38,1,1,58.4,0.0,1,10,2,3,1,1,False,20.0
3418,43,1,1,41.85,0.0,1,7,2,3,1,1,True,210.0
3879,54,1,0,1502.98,0.0,1,0,1,1,0,1,True,772.0
4880,30,0,1,38.5,0.0,1,8,2,3,1,1,True,363.0
4639,30,1,0,76.0,9.43,0,9,2,3,1,2,False,36.0
6216,35,0,1,39.6,0.01,0,8,2,3,1,1,True,2082.0
643,49,1,1,19.0,0.0,1,3,2,1,1,1,True,152.0
7122,44,1,0,36.86,0.0,1,2,2,3,1,2,True,589.0
6391,35,1,1,39.0,0.0,1,7,2,3,1,2,True,543.0
7669,30,1,1,19.05,0.0,1,2,2,3,1,2,True,759.0
2895,47,1,1,88.5,0.0,0,7,2,3,1,1,True,646.0
542,38,1,1,43.09,0.0,1,7,2,0,1,1,True,781.0
3007,65,0,1,138.0,0.0,0,10,2,3,1,1,False,92.0
216,60,0,1,60.9,0.14,1,7,2,3,1,1,False,1308.0
